feature_name,feature_group,task_specific,valid_task_types,requires_text,requires_audio,language_dependent_tooling,description
len_token_count,len,False,ALL,1,0,0,len token count
len_type_count,len,False,ALL,1,0,0,len type count
len_utterance_count,len,False,ALL,1,0,0,len utterance count
len_mean_utterance_length,len,False,ALL,1,0,0,len mean utterance length
len_std_utterance_length,len,False,ALL,1,0,0,len std utterance length
len_tokens_per_utterance,len,False,ALL,1,0,0,len tokens per utterance
len_syllable_count,len,False,ALL,1,0,0,len syllable count
lex_type_token_ratio,lex,False,ALL,1,0,1,lex type token ratio
lex_lemma_type_token_ratio,lex,False,ALL,1,0,1,lex lemma type token ratio
lex_mattr_10,lex,False,ALL,1,0,1,lex mattr 10
lex_mattr_20,lex,False,ALL,1,0,1,lex mattr 20
lex_hapax_ratio,lex,False,ALL,1,0,1,lex hapax ratio
lex_repetition_rate,lex,False,ALL,1,0,1,lex repetition rate
lex_mean_token_length,lex,False,ALL,1,0,1,lex mean token length
lex_std_token_length,lex,False,ALL,1,0,1,lex std token length
lex_function_word_ratio,lex,False,ALL,1,0,1,lex function word ratio
lex_content_word_ratio,lex,False,ALL,1,0,1,lex content word ratio
lex_brunet,lex,False,ALL,1,0,1,lex brunet
lex_honore,lex,False,ALL,1,0,1,lex honore
pause_filled_count,pause,False,ALL,1,1,0,pause filled count
pause_filled_per_100_words,pause,False,ALL,1,1,0,pause filled per 100 words
disc_repeated_unigram_ratio,disc,False,ALL,1,0,1,disc repeated unigram ratio
disc_repeated_bigram_ratio,disc,False,ALL,1,0,1,disc repeated bigram ratio
disc_repeated_trigram_ratio,disc,False,ALL,1,0,1,disc repeated trigram ratio
disc_immediate_repetition_count,disc,False,ALL,1,0,1,disc immediate repetition count
syn_noun_ratio,syn,False,ALL,1,0,1,syn noun ratio
syn_verb_ratio,syn,False,ALL,1,0,1,syn verb ratio
syn_adj_ratio,syn,False,ALL,1,0,1,syn adj ratio
syn_adv_ratio,syn,False,ALL,1,0,1,syn adv ratio
syn_adp_ratio,syn,False,ALL,1,0,1,syn adp ratio
syn_aux_ratio,syn,False,ALL,1,0,1,syn aux ratio
syn_pronoun_ratio,syn,False,ALL,1,0,1,syn pronoun ratio
syn_determiner_ratio,syn,False,ALL,1,0,1,syn determiner ratio
